League,Season,Team,TeamMatchRows,LeadOpportunities,BehindOpportunities,LevelOpportunities,ProtectedLeads,LeadSlips,LeadCollapses,ComebackWins,RecoveryDraws,DrawBreakthroughs,StateChanges,Points,GoalsFor,GoalsAgainst,AvgSwingIntensity,AvgTotalMatchCards,AvgSecondHalfGoalShare,LeadShieldPct,CollapseExposurePct,LeadCollapsePct,ResilienceRatePct,ComebackWinRatePct,DrawBreakthroughRatePct,StateChangeRatePct,PointsPerMatch,GoalsForPerMatch,GoalsAgainstPerMatch
French Ligue 1,2016/17,Angers,38.0,9.0,12.0,17.0,7.0,0.0,2.0,0.0,1.0,6.0,14.0,46.0,40.0,49.0,0.9473684210526315,3.263157894736842,0.55,77.78,22.22,22.22,8.33,0.0,35.29,36.84,1.211,1.053,1.289
French Ligue 1,2016/17,Bastia,37.0,5.0,8.0,24.0,3.0,2.0,0.0,0.0,1.0,5.0,20.0,34.0,29.0,54.0,1.054054054054054,4.054054054054054,0.7058823529411765,60.0,40.0,0.0,12.5,0.0,20.83,54.05,0.919,0.784,1.459
French Ligue 1,2016/17,Bordeaux,38.0,14.0,10.0,14.0,10.0,4.0,0.0,1.0,1.0,4.0,11.0,59.0,53.0,43.0,0.7631578947368421,3.9210526315789473,0.5343147058823529,71.43,28.57,0.0,20.0,10.0,28.57,28.95,1.553,1.395,1.132
French Ligue 1,2016/17,Caen,38.0,6.0,13.0,19.0,4.0,2.0,0.0,0.0,1.0,6.0,18.0,37.0,36.0,65.0,0.9473684210526315,3.6052631578947367,0.585135135135135,66.67,33.33,0.0,7.69,0.0,31.58,47.37,0.974,0.947,1.711
French Ligue 1,2016/17,Dijon,38.0,11.0,6.0,21.0,4.0,5.0,2.0,0.0,3.0,4.0,26.0,37.0,46.0,58.0,1.1842105263157894,3.473684210526316,0.6388848484848484,36.36,63.64,18.18,50.0,0.0,19.05,68.42,0.974,1.211,1.526
French Ligue 1,2016/17,Guingamp,38.0,9.0,12.0,17.0,6.0,2.0,1.0,1.0,3.0,7.0,21.0,50.0,46.0,53.0,1.236842105263158,3.236842105263158,0.6614026315789474,66.67,33.33,11.11,33.33,8.33,41.18,55.26,1.316,1.211,1.395
French Ligue 1,2016/17,Lille,38.0,8.0,12.0,18.0,7.0,0.0,1.0,1.0,3.0,5.0,19.0,46.0,40.0,47.0,0.8947368421052632,3.4210526315789473,0.6057142857142856,87.5,12.5,12.5,33.33,8.33,27.78,50.0,1.211,1.053,1.237
French Ligue 1,2016/17,Lorient,38.0,3.0,20.0,15.0,2.0,1.0,0.0,2.0,2.0,6.0,17.0,36.0,44.0,70.0,1.0263157894736843,3.5789473684210527,0.5890394736842105,66.67,33.33,0.0,20.0,10.0,40.0,44.74,0.947,1.158,1.842
French Ligue 1,2016/17,Lyon,37.0,17.0,9.0,11.0,16.0,0.0,1.0,1.0,1.0,3.0,11.0,64.0,77.0,48.0,1.2432432432432432,4.324324324324325,0.5041666666666668,94.12,5.88,5.88,22.22,11.11,27.27,29.73,1.73,2.081,1.297
French Ligue 1,2016/17,Marseille,38.0,11.0,9.0,18.0,11.0,0.0,0.0,0.0,2.0,6.0,11.0,62.0,57.0,41.0,0.7894736842105263,3.026315789473684,0.6144466666666666,100.0,0.0,0.0,22.22,0.0,33.33,28.95,1.632,1.5,1.079
French Ligue 1,2016/17,Metz,38.0,9.0,15.0,14.0,6.0,3.0,0.0,1.0,1.0,4.0,13.0,43.0,39.0,72.0,1.2105263157894737,3.5789473684210527,0.6025200000000001,66.67,33.33,0.0,13.33,6.67,28.57,34.21,1.132,1.026,1.895
French Ligue 1,2016/17,Monaco,38.0,23.0,5.0,10.0,21.0,1.0,1.0,1.0,2.0,8.0,13.0,95.0,107.0,31.0,1.5526315789473684,3.1842105263157894,0.5974947368421053,91.3,8.7,4.35,60.0,20.0,80.0,34.21,2.5,2.816,0.816
French Ligue 1,2016/17,Montpellier,38.0,10.0,17.0,11.0,6.0,2.0,2.0,1.0,3.0,3.0,15.0,39.0,48.0,66.0,1.0526315789473684,2.9473684210526314,0.46486486486486495,60.0,40.0,20.0,23.53,5.88,27.27,39.47,1.026,1.263,1.737
French Ligue 1,2016/17,Nancy,38.0,9.0,9.0,20.0,6.0,1.0,2.0,0.0,0.0,3.0,16.0,35.0,29.0,52.0,1.1842105263157894,3.6842105263157894,0.6595939393939395,66.67,33.33,22.22,0.0,0.0,15.0,42.11,0.921,0.763,1.368
French Ligue 1,2016/17,Nantes,38.0,12.0,11.0,15.0,8.0,2.0,2.0,0.0,1.0,6.0,14.0,51.0,40.0,54.0,0.868421052631579,3.789473684210526,0.5504638888888889,66.67,33.33,16.67,9.09,0.0,40.0,36.84,1.342,1.053,1.421
French Ligue 1,2016/17,Nice,38.0,16.0,6.0,16.0,14.0,2.0,0.0,1.0,2.0,7.0,13.0,78.0,63.0,36.0,0.7105263157894737,3.8157894736842106,0.4870388888888888,87.5,12.5,0.0,50.0,16.67,43.75,34.21,2.053,1.658,0.947
French Ligue 1,2016/17,Paris SG,38.0,21.0,4.0,13.0,20.0,1.0,0.0,0.0,1.0,7.0,11.0,87.0,83.0,27.0,1.2105263157894737,2.8684210526315788,0.6152777777777779,95.24,4.76,0.0,25.0,0.0,53.85,28.95,2.289,2.184,0.711
French Ligue 1,2016/17,Rennes,38.0,8.0,13.0,17.0,4.0,4.0,0.0,1.0,5.0,7.0,22.0,50.0,36.0,42.0,0.9210526315789473,3.210526315789474,0.599075,50.0,50.0,0.0,46.15,7.69,41.18,57.89,1.316,0.947,1.105
French Ligue 1,2016/17,St Etienne,38.0,6.0,15.0,17.0,4.0,1.0,1.0,3.0,3.0,5.0,15.0,50.0,41.0,42.0,0.9473684210526315,3.5789473684210527,0.593234375,66.67,33.33,16.67,40.0,20.0,29.41,39.47,1.316,1.079,1.105
French Ligue 1,2016/17,Toulouse,38.0,9.0,10.0,19.0,5.0,4.0,0.0,1.0,1.0,4.0,16.0,44.0,37.0,41.0,0.8421052631578947,4.657894736842105,0.5866666666666667,55.56,44.44,0.0,20.0,10.0,21.05,42.11,1.158,0.974,1.079
French Ligue 1,2017/18,Amiens,38.0,12.0,11.0,15.0,8.0,3.0,1.0,0.0,2.0,4.0,17.0,45.0,37.0,42.0,0.9473684210526315,3.5789473684210527,0.5675916666666666,66.67,33.33,8.33,18.18,0.0,26.67,44.74,1.184,0.974,1.105
French Ligue 1,2017/18,Angers,38.0,9.0,14.0,15.0,5.0,3.0,1.0,1.0,4.0,3.0,17.0,41.0,42.0,52.0,0.8947368421052632,4.394736842105263,0.5355837837837837,55.56,44.44,11.11,35.71,7.14,20.0,44.74,1.079,1.105,1.368
French Ligue 1,2017/18,Bordeaux,38.0,16.0,8.0,14.0,14.0,1.0,1.0,0.0,2.0,2.0,14.0,55.0,53.0,48.0,0.7894736842105263,4.0,0.49523714285714276,87.5,12.5,6.25,25.0,0.0,14.29,36.84,1.447,1.395,1.263
French Ligue 1,2017/18,Caen,38.0,5.0,13.0,20.0,5.0,0.0,0.0,0.0,2.0,5.0,16.0,38.0,27.0,52.0,0.8421052631578947,3.8684210526315788,0.587369696969697,100.0,0.0,0.0,15.38,0.0,25.0,42.11,1.0,0.711,1.368
French Ligue 1,2017/18,Dijon,38.0,10.0,12.0,16.0,8.0,2.0,0.0,1.0,3.0,4.0,18.0,48.0,55.0,73.0,1.0263157894736843,3.6052631578947367,0.5251594594594595,80.0,20.0,0.0,33.33,8.33,25.0,47.37,1.263,1.447,1.921
French Ligue 1,2017/18,Guingamp,38.0,7.0,11.0,20.0,5.0,2.0,0.0,0.0,1.0,7.0,15.0,47.0,48.0,59.0,1.0263157894736843,4.052631578947368,0.6013628571428571,71.43,28.57,0.0,9.09,0.0,35.0,39.47,1.237,1.263,1.553
French Ligue 1,2017/18,Lille,38.0,7.0,18.0,13.0,5.0,1.0,1.0,1.0,3.0,4.0,15.0,38.0,41.0,67.0,0.9210526315789473,3.6842105263157894,0.5216243243243244,71.43,28.57,14.29,22.22,5.56,30.77,39.47,1.0,1.079,1.763
French Ligue 1,2017/18,Lyon,38.0,19.0,8.0,11.0,15.0,4.0,0.0,2.0,2.0,6.0,16.0,78.0,87.0,43.0,1.1578947368421053,4.184210526315789,0.5212333333333334,78.95,21.05,0.0,50.0,25.0,54.55,42.11,2.053,2.289,1.132
French Ligue 1,2017/18,Marseille,38.0,17.0,6.0,15.0,13.0,4.0,0.0,0.0,2.0,9.0,16.0,77.0,80.0,47.0,0.9473684210526315,4.052631578947368,0.4890594594594595,76.47,23.53,0.0,33.33,0.0,60.0,42.11,2.026,2.105,1.237
French Ligue 1,2017/18,Metz,38.0,5.0,16.0,17.0,1.0,2.0,2.0,1.0,1.0,4.0,18.0,26.0,34.0,76.0,1.131578947368421,3.9210526315789473,0.5644162162162162,20.0,80.0,40.0,12.5,6.25,23.53,47.37,0.684,0.895,2.0
French Ligue 1,2017/18,Monaco,38.0,17.0,6.0,15.0,15.0,2.0,0.0,1.0,1.0,8.0,14.0,80.0,85.0,45.0,1.0526315789473684,3.8947368421052633,0.5061194444444445,88.24,11.76,0.0,33.33,16.67,53.33,36.84,2.105,2.237,1.184
French Ligue 1,2017/18,Montpellier,38.0,7.0,11.0,20.0,5.0,2.0,0.0,0.0,6.0,6.0,18.0,51.0,36.0,33.0,0.6578947368421053,4.0,0.526040625,71.43,28.57,0.0,54.55,0.0,30.0,47.37,1.342,0.947,0.868
French Ligue 1,2017/18,Nantes,38.0,12.0,9.0,17.0,6.0,6.0,0.0,0.0,1.0,8.0,21.0,52.0,36.0,41.0,0.8157894736842105,3.9473684210526314,0.5346864864864865,50.0,50.0,0.0,11.11,0.0,47.06,55.26,1.368,0.947,1.079
French Ligue 1,2017/18,Nice,38.0,11.0,10.0,17.0,8.0,2.0,1.0,1.0,3.0,6.0,20.0,54.0,53.0,52.0,0.8947368421052632,4.315789473684211,0.5256108108108107,72.73,27.27,9.09,40.0,10.0,35.29,52.63,1.421,1.395,1.368
French Ligue 1,2017/18,Paris SG,38.0,21.0,2.0,15.0,20.0,1.0,0.0,0.0,2.0,9.0,15.0,93.0,108.0,29.0,1.368421052631579,4.078947368421052,0.6012555555555557,95.24,4.76,0.0,100.0,0.0,60.0,39.47,2.447,2.842,0.763
French Ligue 1,2017/18,Rennes,38.0,9.0,10.0,19.0,6.0,2.0,1.0,2.0,3.0,8.0,22.0,58.0,50.0,44.0,0.8947368421052632,4.973684210526316,0.597371052631579,66.67,33.33,11.11,50.0,20.0,42.11,57.89,1.526,1.316,1.158
French Ligue 1,2017/18,St Etienne,38.0,10.0,14.0,14.0,7.0,3.0,0.0,2.0,2.0,6.0,16.0,55.0,47.0,50.0,1.0526315789473684,4.052631578947368,0.5247756756756756,70.0,30.0,0.0,28.57,14.29,42.86,42.11,1.447,1.237,1.316
French Ligue 1,2017/18,Strasbourg,38.0,7.0,13.0,18.0,4.0,3.0,0.0,0.0,1.0,5.0,15.0,38.0,44.0,67.0,0.868421052631579,4.2105263157894735,0.5975555555555555,57.14,42.86,0.0,7.69,0.0,27.78,39.47,1.0,1.158,1.763
French Ligue 1,2017/18,Toulouse,38.0,7.0,10.0,21.0,5.0,0.0,2.0,0.0,2.0,4.0,17.0,37.0,38.0,54.0,0.7368421052631579,4.815789473684211,0.5194454545454545,71.43,28.57,28.57,20.0,0.0,19.05,44.74,0.974,1.0,1.421
French Ligue 1,2017/18,Troyes,38.0,7.0,13.0,18.0,4.0,1.0,2.0,0.0,1.0,5.0,18.0,33.0,32.0,59.0,1.0789473684210527,3.6842105263157894,0.6189833333333333,57.14,42.86,28.57,7.69,0.0,27.78,47.37,0.868,0.842,1.553
French Ligue 1,2018/19,Amiens,38.0,7.0,11.0,20.0,5.0,1.0,1.0,0.0,1.0,4.0,14.0,38.0,31.0,52.0,0.7894736842105263,3.473684210526316,0.6059161290322581,71.43,28.57,14.29,9.09,0.0,20.0,36.84,1.0,0.816,1.368
French Ligue 1,2018/19,Angers,38.0,10.0,10.0,18.0,6.0,4.0,0.0,0.0,4.0,4.0,18.0,46.0,44.0,49.0,0.7368421052631579,3.526315789473684,0.6007969696969698,60.0,40.0,0.0,40.0,0.0,22.22,47.37,1.211,1.158,1.289
French Ligue 1,2018/19,Bordeaux,38.0,8.0,12.0,18.0,6.0,1.0,1.0,0.0,3.0,4.0,16.0,41.0,34.0,42.0,0.6052631578947368,3.973684210526316,0.5126272727272727,75.0,25.0,12.5,25.0,0.0,22.22,42.11,1.079,0.895,1.105
French Ligue 1,2018/19,Caen,38.0,8.0,8.0,22.0,4.0,3.0,1.0,0.0,2.0,3.0,21.0,33.0,29.0,54.0,0.868421052631579,4.184210526315789,0.6426470588235293,50.0,50.0,12.5,25.0,0.0,13.64,55.26,0.868,0.763,1.421
French Ligue 1,2018/19,Dijon,38.0,8.0,15.0,15.0,6.0,1.0,1.0,2.0,0.0,1.0,13.0,34.0,31.0,60.0,1.0,3.736842105263158,0.6014342857142857,75.0,25.0,12.5,13.33,13.33,6.67,34.21,0.895,0.816,1.579
French Ligue 1,2018/19,Guingamp,38.0,7.0,17.0,14.0,2.0,3.0,2.0,0.0,2.0,3.0,14.0,27.0,28.0,68.0,1.0263157894736843,3.8684210526315788,0.5796937499999999,28.57,71.43,28.57,11.76,0.0,21.43,36.84,0.711,0.737,1.789
French Ligue 1,2018/19,Lille,38.0,14.0,3.0,21.0,11.0,2.0,1.0,0.0,1.0,11.0,19.0,75.0,68.0,33.0,1.131578947368421,4.131578947368421,0.659314705882353,78.57,21.43,7.14,33.33,0.0,52.38,50.0,1.974,1.789,0.868
French Ligue 1,2018/19,Lyon,38.0,14.0,12.0,12.0,9.0,5.0,0.0,4.0,3.0,8.0,23.0,72.0,70.0,47.0,1.236842105263158,3.736842105263158,0.5644710526315788,64.29,35.71,0.0,58.33,33.33,66.67,60.53,1.895,1.842,1.237
French Ligue 1,2018/19,Marseille,38.0,12.0,10.0,16.0,10.0,1.0,1.0,1.0,3.0,7.0,19.0,61.0,60.0,52.0,1.131578947368421,4.315789473684211,0.5796702702702703,83.33,16.67,8.33,40.0,10.0,43.75,50.0,1.605,1.579,1.368
French Ligue 1,2018/19,Monaco,38.0,7.0,18.0,13.0,4.0,1.0,2.0,0.0,4.0,4.0,13.0,36.0,38.0,57.0,0.7894736842105263,4.421052631578948,0.5143527777777778,57.14,42.86,28.57,22.22,0.0,30.77,34.21,0.947,1.0,1.5
French Ligue 1,2018/19,Montpellier,38.0,9.0,7.0,22.0,6.0,2.0,1.0,1.0,3.0,8.0,20.0,59.0,53.0,42.0,0.9473684210526315,3.6052631578947367,0.6485714285714287,66.67,33.33,11.11,57.14,14.29,36.36,52.63,1.553,1.395,1.105
French Ligue 1,2018/19,Nantes,38.0,8.0,9.0,21.0,5.0,2.0,1.0,0.0,3.0,8.0,23.0,48.0,48.0,48.0,1.0263157894736843,4.2105263157894735,0.6564833333333334,62.5,37.5,12.5,33.33,0.0,38.1,60.53,1.263,1.263,1.263
French Ligue 1,2018/19,Nice,38.0,12.0,11.0,15.0,9.0,3.0,0.0,0.0,2.0,6.0,14.0,56.0,30.0,35.0,0.7894736842105263,4.026315789473684,0.5666714285714285,75.0,25.0,0.0,18.18,0.0,40.0,36.84,1.474,0.789,0.921
French Ligue 1,2018/19,Nimes,38.0,11.0,12.0,15.0,8.0,2.0,1.0,1.0,3.0,6.0,19.0,53.0,57.0,58.0,1.1842105263157894,4.342105263157895,0.5939166666666666,72.73,27.27,9.09,33.33,8.33,40.0,50.0,1.395,1.5,1.526
French Ligue 1,2018/19,Paris SG,38.0,19.0,5.0,14.0,18.0,1.0,0.0,1.0,2.0,10.0,17.0,91.0,105.0,35.0,1.605263157894737,3.3947368421052633,0.6214947368421053,94.74,5.26,0.0,60.0,20.0,71.43,44.74,2.395,2.763,0.921
French Ligue 1,2018/19,Reims,38.0,13.0,11.0,14.0,11.0,2.0,0.0,0.0,3.0,2.0,8.0,55.0,39.0,42.0,0.5789473684210527,3.5,0.48281562499999997,84.62,15.38,0.0,27.27,0.0,14.29,21.05,1.447,1.026,1.105
French Ligue 1,2018/19,Rennes,38.0,12.0,5.0,21.0,7.0,5.0,0.0,0.0,0.0,6.0,18.0,52.0,55.0,52.0,0.9736842105263158,4.368421052631579,0.5870388888888889,58.33,41.67,0.0,0.0,0.0,28.57,47.37,1.368,1.447,1.368
French Ligue 1,2018/19,St Etienne,38.0,13.0,6.0,19.0,11.0,1.0,1.0,3.0,0.0,5.0,16.0,66.0,59.0,41.0,1.0263157894736843,3.9210526315789473,0.6281138888888889,84.62,15.38,7.69,50.0,50.0,26.32,42.11,1.737,1.553,1.079
French Ligue 1,2018/19,Strasbourg,38.0,11.0,14.0,13.0,6.0,5.0,0.0,1.0,3.0,4.0,14.0,49.0,58.0,48.0,0.8421052631578947,3.763157894736842,0.6033371428571428,54.55,45.45,0.0,28.57,7.14,30.77,36.84,1.289,1.526,1.263
French Ligue 1,2018/19,Toulouse,38.0,7.0,14.0,17.0,5.0,1.0,1.0,1.0,4.0,2.0,15.0,38.0,35.0,57.0,0.7105263157894737,4.184210526315789,0.5469882352941177,71.43,28.57,14.29,35.71,7.14,11.76,39.47,1.0,0.921,1.5
French Ligue 1,2019/20,Amiens,28.0,7.0,10.0,11.0,3.0,2.0,2.0,0.0,5.0,1.0,16.0,23.0,31.0,50.0,1.1071428571428572,3.9642857142857144,0.58534,42.86,57.14,28.57,50.0,0.0,9.09,57.14,0.821,1.107,1.786
French Ligue 1,2019/20,Angers,28.0,4.0,10.0,14.0,4.0,0.0,0.0,2.0,1.0,5.0,12.0,39.0,28.0,33.0,1.0357142857142858,3.3214285714285716,0.5513916666666666,100.0,0.0,0.0,30.0,20.0,35.71,42.86,1.393,1.0,1.179
French Ligue 1,2019/20,Bordeaux,28.0,11.0,8.0,9.0,6.0,3.0,2.0,1.0,4.0,2.0,16.0,37.0,40.0,34.0,1.0357142857142858,4.607142857142857,0.5436555555555556,54.55,45.45,18.18,62.5,12.5,22.22,57.14,1.321,1.429,1.214
French Ligue 1,2019/20,Brest,28.0,6.0,13.0,9.0,3.0,3.0,0.0,1.0,3.0,4.0,12.0,34.0,34.0,37.0,0.9642857142857143,3.1785714285714284,0.488188,50.0,50.0,0.0,30.77,7.69,44.44,42.86,1.214,1.214,1.321
French Ligue 1,2019/20,Dijon,28.0,3.0,7.0,18.0,2.0,1.0,0.0,0.0,1.0,5.0,13.0,30.0,27.0,37.0,0.7142857142857143,3.392857142857143,0.4899919999999999,66.67,33.33,0.0,14.29,0.0,27.78,46.43,1.071,0.964,1.321
French Ligue 1,2019/20,Lille,28.0,12.0,4.0,12.0,12.0,0.0,0.0,1.0,0.0,2.0,9.0,49.0,35.0,27.0,0.7857142857142857,4.071428571428571,0.5864259259259259,100.0,0.0,0.0,25.0,25.0,16.67,32.14,1.75,1.25,0.964
French Ligue 1,2019/20,Lyon,28.0,10.0,5.0,13.0,8.0,2.0,0.0,1.0,0.0,2.0,11.0,40.0,42.0,27.0,0.8928571428571429,4.178571428571429,0.49102307692307695,80.0,20.0,0.0,20.0,20.0,15.38,39.29,1.429,1.5,0.964
French Ligue 1,2019/20,Marseille,28.0,8.0,6.0,14.0,7.0,1.0,0.0,1.0,3.0,8.0,15.0,56.0,41.0,29.0,0.8928571428571429,4.5,0.6074416666666667,87.5,12.5,0.0,66.67,16.67,57.14,53.57,2.0,1.464,1.036
French Ligue 1,2019/20,Metz,28.0,11.0,13.0,4.0,6.0,4.0,1.0,0.0,4.0,2.0,11.0,34.0,27.0,35.0,0.6428571428571429,3.25,0.42692692307692304,54.55,45.45,9.09,30.77,0.0,50.0,39.29,1.214,0.964,1.25
French Ligue 1,2019/20,Monaco,28.0,10.0,7.0,11.0,6.0,3.0,1.0,1.0,1.0,4.0,14.0,40.0,44.0,44.0,1.1071428571428572,4.285714285714286,0.5325115384615384,60.0,40.0,10.0,28.57,14.29,36.36,50.0,1.429,1.571,1.571
French Ligue 1,2019/20,Montpellier,28.0,11.0,8.0,9.0,6.0,4.0,1.0,1.0,1.0,4.0,14.0,40.0,35.0,34.0,1.0357142857142858,5.0,0.5096192307692308,54.55,45.45,9.09,25.0,12.5,44.44,50.0,1.429,1.25,1.214
French Ligue 1,2019/20,Nantes,28.0,6.0,4.0,18.0,3.0,1.0,2.0,0.0,0.0,8.0,18.0,37.0,28.0,31.0,0.8928571428571429,4.107142857142857,0.7256461538461539,50.0,50.0,33.33,0.0,0.0,44.44,64.29,1.321,1.0,1.107
French Ligue 1,2019/20,Nice,28.0,8.0,9.0,11.0,6.0,2.0,0.0,2.0,1.0,3.0,11.0,41.0,41.0,38.0,0.75,4.928571428571429,0.44074074074074077,75.0,25.0,0.0,33.33,22.22,27.27,39.29,1.464,1.464,1.357
French Ligue 1,2019/20,Nimes,28.0,5.0,12.0,11.0,4.0,1.0,0.0,0.0,2.0,3.0,11.0,27.0,29.0,44.0,0.9642857142857143,5.071428571428571,0.4967961538461539,80.0,20.0,0.0,16.67,0.0,27.27,39.29,0.964,1.036,1.571
French Ligue 1,2019/20,Paris SG,27.0,16.0,3.0,8.0,15.0,1.0,0.0,1.0,1.0,6.0,11.0,68.0,75.0,24.0,1.2962962962962963,3.962962962962963,0.5677296296296296,93.75,6.25,0.0,66.67,33.33,75.0,40.74,2.519,2.778,0.889
French Ligue 1,2019/20,Reims,28.0,7.0,5.0,16.0,5.0,2.0,0.0,0.0,2.0,5.0,13.0,41.0,26.0,21.0,0.7857142857142857,3.5357142857142856,0.5701375,71.43,28.57,0.0,40.0,0.0,31.25,46.43,1.464,0.929,0.75
French Ligue 1,2019/20,Rennes,28.0,9.0,1.0,18.0,7.0,1.0,1.0,0.0,0.0,8.0,16.0,50.0,38.0,24.0,0.8214285714285714,4.535714285714286,0.6512807692307694,77.78,22.22,11.11,0.0,0.0,44.44,57.14,1.786,1.357,0.857
French Ligue 1,2019/20,St Etienne,28.0,5.0,14.0,9.0,3.0,1.0,1.0,0.0,2.0,5.0,10.0,30.0,29.0,45.0,0.8928571428571429,4.107142857142857,0.5283962962962963,60.0,40.0,20.0,14.29,0.0,55.56,35.71,1.071,1.036,1.607
French Ligue 1,2019/20,Strasbourg,27.0,10.0,8.0,9.0,8.0,1.0,1.0,1.0,1.0,2.0,10.0,38.0,32.0,32.0,1.037037037037037,3.962962962962963,0.511336,80.0,20.0,10.0,25.0,12.5,22.22,37.04,1.407,1.185,1.185
French Ligue 1,2019/20,Toulouse,28.0,2.0,14.0,12.0,0.0,1.0,1.0,0.0,2.0,3.0,15.0,13.0,22.0,58.0,1.1428571428571428,3.107142857142857,0.595237037037037,0.0,100.0,50.0,14.29,0.0,25.0,53.57,0.464,0.786,2.071
French Ligue 1,2020/21,Angers,38.0,10.0,14.0,14.0,8.0,2.0,0.0,1.0,0.0,3.0,11.0,44.0,40.0,58.0,0.9473684210526315,3.763157894736842,0.4920852941176471,80.0,20.0,0.0,7.14,7.14,21.43,28.95,1.158,1.053,1.526
French Ligue 1,2020/21,Bordeaux,38.0,10.0,13.0,15.0,9.0,0.0,1.0,0.0,1.0,4.0,12.0,45.0,42.0,56.0,0.868421052631579,3.973684210526316,0.4813151515151516,90.0,10.0,10.0,7.69,0.0,26.67,31.58,1.184,1.105,1.474
French Ligue 1,2020/21,Brest,38.0,13.0,15.0,10.0,9.0,2.0,2.0,1.0,2.0,1.0,13.0,41.0,50.0,66.0,0.8421052631578947,3.9473684210526314,0.4704771428571428,69.23,30.77,15.38,20.0,6.67,10.0,34.21,1.079,1.316,1.737
French Ligue 1,2020/21,Dijon,38.0,5.0,21.0,12.0,2.0,1.0,2.0,1.0,2.0,1.0,12.0,21.0,25.0,73.0,1.0263157894736843,3.6052631578947367,0.4980411764705882,40.0,60.0,40.0,14.29,4.76,8.33,31.58,0.553,0.658,1.921
French Ligue 1,2020/21,Lens,38.0,16.0,13.0,9.0,12.0,4.0,0.0,0.0,5.0,3.0,15.0,57.0,55.0,54.0,0.7631578947368421,4.842105263157895,0.5238444444444443,75.0,25.0,0.0,38.46,0.0,33.33,39.47,1.5,1.447,1.421
French Ligue 1,2020/21,Lille,38.0,18.0,8.0,12.0,17.0,1.0,0.0,2.0,3.0,5.0,11.0,83.0,64.0,23.0,0.8947368421052632,4.026315789473684,0.47941176470588237,94.44,5.56,0.0,62.5,25.0,41.67,28.95,2.184,1.684,0.605
French Ligue 1,2020/21,Lorient,38.0,7.0,17.0,14.0,5.0,1.0,1.0,4.0,4.0,2.0,20.0,42.0,50.0,68.0,1.263157894736842,4.078947368421052,0.6175054054054054,71.43,28.57,14.29,47.06,23.53,14.29,52.63,1.105,1.316,1.789
French Ligue 1,2020/21,Lyon,38.0,19.0,7.0,12.0,17.0,0.0,2.0,2.0,3.0,3.0,12.0,76.0,81.0,43.0,0.9210526315789473,4.105263157894737,0.5068138888888888,89.47,10.53,10.53,71.43,28.57,25.0,31.58,2.0,2.132,1.132
French Ligue 1,2020/21,Marseille,38.0,15.0,6.0,17.0,11.0,2.0,2.0,1.0,0.0,4.0,12.0,60.0,54.0,47.0,0.7894736842105263,5.131578947368421,0.6208333333333333,73.33,26.67,13.33,16.67,16.67,23.53,31.58,1.579,1.421,1.237
French Ligue 1,2020/21,Metz,38.0,7.0,11.0,20.0,6.0,1.0,0.0,1.0,2.0,5.0,16.0,47.0,44.0,48.0,0.9210526315789473,4.447368421052632,0.574075,85.71,14.29,0.0,27.27,9.09,25.0,42.11,1.237,1.158,1.263
French Ligue 1,2020/21,Monaco,38.0,18.0,9.0,11.0,16.0,0.0,2.0,2.0,3.0,6.0,15.0,78.0,76.0,42.0,1.1842105263157894,4.815789473684211,0.5678638888888888,88.89,11.11,11.11,55.56,22.22,54.55,39.47,2.053,2.0,1.105
French Ligue 1,2020/21,Montpellier,38.0,10.0,11.0,17.0,7.0,3.0,0.0,1.0,2.0,6.0,16.0,54.0,60.0,62.0,0.8421052631578947,4.078947368421052,0.6058194444444446,70.0,30.0,0.0,27.27,9.09,35.29,42.11,1.421,1.579,1.632
French Ligue 1,2020/21,Nantes,38.0,12.0,16.0,10.0,6.0,5.0,1.0,2.0,4.0,1.0,18.0,40.0,47.0,55.0,0.9736842105263158,4.342105263157895,0.5249999999999999,50.0,50.0,8.33,37.5,12.5,10.0,47.37,1.053,1.237,1.447
French Ligue 1,2020/21,Nice,38.0,10.0,15.0,13.0,8.0,2.0,0.0,2.0,0.0,5.0,12.0,52.0,50.0,53.0,0.8421052631578947,3.789473684210526,0.53476,80.0,20.0,0.0,13.33,13.33,38.46,31.58,1.368,1.316,1.395
French Ligue 1,2020/21,Nimes,38.0,4.0,19.0,15.0,3.0,0.0,1.0,0.0,3.0,6.0,14.0,35.0,40.0,71.0,1.105263157894737,4.2894736842105265,0.6060513513513512,75.0,25.0,25.0,15.79,0.0,40.0,36.84,0.921,1.053,1.868
French Ligue 1,2020/21,Paris SG,38.0,24.0,4.0,10.0,20.0,2.0,2.0,0.0,0.0,6.0,12.0,82.0,86.0,28.0,1.2105263157894737,4.052631578947368,0.5377756756756756,83.33,16.67,8.33,0.0,0.0,60.0,31.58,2.158,2.263,0.737
French Ligue 1,2020/21,Reims,38.0,11.0,10.0,17.0,5.0,4.0,2.0,1.0,2.0,3.0,17.0,42.0,42.0,50.0,0.7368421052631579,3.8421052631578947,0.53671875,45.45,54.55,18.18,30.0,10.0,17.65,44.74,1.105,1.105,1.316
French Ligue 1,2020/21,Rennes,38.0,13.0,13.0,12.0,9.0,4.0,0.0,2.0,3.0,5.0,18.0,58.0,52.0,40.0,0.9473684210526315,4.2368421052631575,0.5185194444444444,69.23,30.77,0.0,38.46,15.38,41.67,47.37,1.526,1.368,1.053
