League,Season,Team,TeamMatchRows,LeadOpportunities,BehindOpportunities,LevelOpportunities,ProtectedLeads,LeadSlips,LeadCollapses,ComebackWins,RecoveryDraws,DrawBreakthroughs,StateChanges,Points,GoalsFor,GoalsAgainst,AvgSwingIntensity,AvgTotalMatchCards,AvgSecondHalfGoalShare,LeadShieldPct,CollapseExposurePct,LeadCollapsePct,ResilienceRatePct,ComebackWinRatePct,DrawBreakthroughRatePct,StateChangeRatePct,PointsPerMatch,GoalsForPerMatch,GoalsAgainstPerMatch
English Premier League,2022/23,Nott'm Forest,38.0,11.0,13.0,14.0,5.0,3.0,3.0,0.0,4.0,4.0,20.0,38.0,38.0,68.0,1.1578947368421053,3.9210526315789473,0.5462675675675674,45.45,54.55,27.27,30.77,0.0,28.57,52.63,1.0,1.0,1.789
English Premier League,2022/23,Southampton,38.0,8.0,19.0,11.0,4.0,2.0,2.0,1.0,2.0,1.0,15.0,25.0,36.0,73.0,0.8421052631578947,3.5526315789473686,0.5228459459459459,50.0,50.0,25.0,15.79,5.26,9.09,39.47,0.658,0.947,1.921
English Premier League,2022/23,Tottenham,38.0,13.0,12.0,13.0,9.0,2.0,2.0,2.0,3.0,7.0,21.0,60.0,70.0,63.0,1.3157894736842106,4.131578947368421,0.5833947368421052,69.23,30.77,15.38,41.67,16.67,53.85,55.26,1.579,1.842,1.658
English Premier League,2022/23,West Ham,38.0,8.0,15.0,15.0,7.0,0.0,1.0,0.0,3.0,4.0,15.0,40.0,42.0,55.0,0.9736842105263158,2.5789473684210527,0.4241842105263158,87.5,12.5,12.5,20.0,0.0,26.67,39.47,1.053,1.105,1.447
English Premier League,2022/23,Wolves,38.0,11.0,12.0,15.0,6.0,4.0,1.0,1.0,1.0,4.0,19.0,41.0,31.0,58.0,1.0526315789473684,4.2894736842105265,0.57685,54.55,45.45,9.09,16.67,8.33,26.67,50.0,1.079,0.816,1.526
English Premier League,2023/24,Arsenal,38.0,18.0,4.0,16.0,18.0,0.0,0.0,0.0,2.0,10.0,15.0,89.0,91.0,29.0,1.3157894736842106,3.763157894736842,0.5708459459459458,100.0,0.0,0.0,50.0,0.0,62.5,39.47,2.342,2.395,0.763
English Premier League,2023/24,Aston Villa,38.0,16.0,10.0,12.0,13.0,2.0,1.0,1.0,2.0,6.0,14.0,68.0,76.0,61.0,1.1578947368421053,4.973684210526316,0.6149918918918919,81.25,18.75,6.25,30.0,10.0,50.0,36.84,1.789,2.0,1.605
English Premier League,2023/24,Bournemouth,38.0,10.0,12.0,16.0,7.0,2.0,1.0,1.0,1.0,5.0,15.0,48.0,54.0,67.0,1.131578947368421,4.342105263157895,0.602962162162162,70.0,30.0,10.0,16.67,8.33,31.25,39.47,1.263,1.421,1.763
English Premier League,2023/24,Brentford,38.0,8.0,11.0,19.0,4.0,1.0,3.0,1.0,2.0,5.0,20.0,39.0,56.0,65.0,1.1578947368421053,4.2894736842105265,0.6518555555555555,50.0,50.0,37.5,27.27,9.09,26.32,52.63,1.026,1.474,1.711
English Premier League,2023/24,Brighton,38.0,12.0,14.0,12.0,9.0,2.0,1.0,0.0,4.0,3.0,13.0,48.0,55.0,62.0,0.9736842105263158,5.0,0.5610885714285714,75.0,25.0,8.33,28.57,0.0,25.0,34.21,1.263,1.447,1.632
