League,Season,HalfTimeState,FullTimeState,TransitionClass,TeamMatchRows,HalfTimeStateTotal,TransitionRatePct,MatrixLabel
Spanish La Liga,2023/24,Behind,Win,Comeback Win,18,219,8.22,"Comeback Win
8.22%"
Spanish La Liga,2023/24,Level,Draw,Stable Draw,136,322,42.24,"Stable Draw
42.24%"
Spanish La Liga,2023/24,Level,Loss,Draw Lost,93,322,28.88,"Draw Lost
28.88%"
Spanish La Liga,2023/24,Level,Win,Draw Breakthrough,93,322,28.88,"Draw Breakthrough
28.88%"
Spanish La Liga,2024/25,Ahead,Draw,Lead Slip,43,211,20.38,"Lead Slip
20.38%"
Spanish La Liga,2024/25,Ahead,Loss,Lead Collapse,23,211,10.9,"Lead Collapse
10.9%"
Spanish La Liga,2024/25,Ahead,Win,Protected Lead,145,211,68.72,"Protected Lead
68.72%"
Spanish La Liga,2024/25,Behind,Draw,Recovery Draw,43,211,20.38,"Recovery Draw
20.38%"
Spanish La Liga,2024/25,Behind,Loss,No Recovery,145,211,68.72,"No Recovery
68.72%"
Spanish La Liga,2024/25,Behind,Win,Comeback Win,23,211,10.9,"Comeback Win
10.9%"
Spanish La Liga,2024/25,Level,Draw,Stable Draw,108,338,31.95,"Stable Draw
31.95%"
Spanish La Liga,2024/25,Level,Loss,Draw Lost,115,338,34.02,"Draw Lost
34.02%"
Spanish La Liga,2024/25,Level,Win,Draw Breakthrough,115,338,34.02,"Draw Breakthrough
34.02%"
