League,Team,Venue,TeamMatchRows,LeadOpportunities,BehindOpportunities,LevelOpportunities,ProtectedLeads,LeadSlips,LeadCollapses,ComebackWins,RecoveryDraws,DrawBreakthroughs,StateChanges,Points,GoalsFor,GoalsAgainst,AvgSwingIntensity,AvgTotalMatchCards,AvgSecondHalfGoalShare,LeadShieldPct,CollapseExposurePct,LeadCollapsePct,ResilienceRatePct,ComebackWinRatePct,DrawBreakthroughRatePct,StateChangeRatePct,PointsPerMatch,GoalsForPerMatch,GoalsAgainstPerMatch
Italian Serie A,Sampdoria,Home,152.0,39.0,53.0,60.0,30.0,6.0,3.0,5.0,7.0,25.0,62.0,212.0,219.0,200.0,0.9144736842105263,5.0855263157894735,0.5402553191489361,76.92,23.08,7.69,22.64,9.43,41.67,40.79,1.395,1.441,1.316
Italian Serie A,Sassuolo,Away,171.0,50.0,60.0,61.0,31.0,11.0,8.0,6.0,10.0,17.0,76.0,203.0,231.0,293.0,0.9590643274853801,4.754385964912281,0.5257030674846626,62.0,38.0,16.0,26.67,10.0,27.87,44.44,1.187,1.351,1.713
Italian Serie A,Sassuolo,Home,170.0,49.0,54.0,67.0,33.0,7.0,9.0,6.0,14.0,19.0,70.0,228.0,245.0,247.0,0.8823529411764706,4.852941176470588,0.5122056603773585,67.35,32.65,18.37,37.04,11.11,28.36,41.18,1.341,1.441,1.453
Italian Serie A,Spal,Away,57.0,10.0,28.0,19.0,5.0,0.0,5.0,2.0,4.0,5.0,25.0,45.0,52.0,97.0,1.0350877192982457,5.12280701754386,0.5317888888888889,50.0,50.0,50.0,21.43,7.14,26.32,43.86,0.789,0.912,1.702
Italian Serie A,Spal,Home,57.0,13.0,19.0,25.0,5.0,6.0,2.0,2.0,3.0,5.0,28.0,55.0,58.0,95.0,1.0701754385964912,5.333333333333333,0.6348942307692307,38.46,61.54,15.38,26.32,10.53,20.0,49.12,0.965,1.018,1.667
Italian Serie A,Spezia,Away,57.0,11.0,20.0,26.0,7.0,4.0,0.0,2.0,1.0,2.0,25.0,46.0,57.0,112.0,1.105263157894737,4.719298245614035,0.5710796296296297,63.64,36.36,0.0,15.0,10.0,7.69,43.86,0.807,1.0,1.965
Italian Serie A,Spezia,Home,57.0,9.0,16.0,32.0,2.0,6.0,1.0,2.0,4.0,10.0,37.0,60.0,67.0,93.0,1.1228070175438596,4.7894736842105265,0.6405185185185184,22.22,77.78,11.11,37.5,12.5,31.25,64.91,1.053,1.175,1.632
Italian Serie A,Torino,Away,190.0,45.0,61.0,84.0,27.0,12.0,6.0,3.0,14.0,20.0,82.0,213.0,232.0,278.0,0.8315789473684211,4.878947368421053,0.6016691428571429,60.0,40.0,13.33,27.87,4.92,23.81,43.16,1.121,1.221,1.463
Italian Serie A,Torino,Home,190.0,64.0,46.0,80.0,48.0,14.0,2.0,8.0,6.0,16.0,67.0,279.0,256.0,226.0,0.8157894736842105,4.568421052631579,0.5814274853801169,75.0,25.0,3.12,30.43,17.39,20.0,35.26,1.468,1.347,1.189
Italian Serie A,Udinese,Away,190.0,37.0,71.0,82.0,22.0,8.0,7.0,6.0,11.0,20.0,84.0,193.0,204.0,306.0,0.9631578947368421,4.342105263157895,0.5669779661016949,59.46,40.54,18.92,23.94,8.45,24.39,44.21,1.016,1.074,1.611
Italian Serie A,Udinese,Home,190.0,68.0,46.0,76.0,40.0,18.0,10.0,1.0,9.0,18.0,85.0,233.0,230.0,250.0,0.9157894736842105,4.831578947368421,0.5219362068965517,58.82,41.18,14.71,21.74,2.17,23.68,44.74,1.226,1.211,1.316
Italian Serie A,Venezia,Away,38.0,5.0,12.0,21.0,1.0,3.0,1.0,0.0,3.0,2.0,21.0,22.0,28.0,65.0,0.9210526315789473,4.342105263157895,0.6523828571428572,20.0,80.0,20.0,25.0,0.0,9.52,55.26,0.579,0.737,1.711
Italian Serie A,Venezia,Home,38.0,7.0,15.0,16.0,3.0,2.0,2.0,2.0,2.0,3.0,18.0,34.0,38.0,60.0,0.8947368421052632,4.868421052631579,0.5774171428571429,42.86,57.14,28.57,26.67,13.33,18.75,47.37,0.895,1.0,1.579
Italian Serie A,Verona,Away,152.0,27.0,57.0,68.0,14.0,8.0,5.0,1.0,12.0,11.0,68.0,124.0,146.0,243.0,0.8486842105263158,4.546052631578948,0.580334965034965,51.85,48.15,18.52,22.81,1.75,16.18,44.74,0.816,0.961,1.599
Italian Serie A,Verona,Home,152.0,35.0,54.0,63.0,24.0,6.0,5.0,4.0,5.0,20.0,58.0,180.0,176.0,232.0,0.8092105263157895,4.855263157894737,0.5467706293706294,68.57,31.43,14.29,16.67,7.41,31.75,38.16,1.184,1.158,1.526
Spanish La Liga,Alaves,Away,152.0,30.0,60.0,62.0,16.0,6.0,8.0,1.0,5.0,16.0,61.0,131.0,141.0,254.0,1.019736842105263,4.9144736842105265,0.6153227586206896,53.33,46.67,26.67,10.0,1.67,25.81,40.13,0.862,0.928,1.671
Spanish La Liga,Alaves,Home,152.0,35.0,38.0,79.0,25.0,10.0,0.0,3.0,8.0,30.0,75.0,217.0,154.0,164.0,0.7960526315789473,5.6644736842105265,0.6263656934306571,71.43,28.57,0.0,28.95,7.89,37.97,49.34,1.428,1.013,1.079
Spanish La Liga,Almeria,Away,38.0,7.0,15.0,16.0,3.0,2.0,2.0,0.0,0.0,0.0,13.0,18.0,41.0,82.0,0.7631578947368421,4.684210526315789,0.48602631578947364,42.86,57.14,28.57,0.0,0.0,0.0,34.21,0.474,1.079,2.158
Spanish La Liga,Almeria,Home,38.0,10.0,12.0,16.0,7.0,2.0,1.0,2.0,1.0,2.0,14.0,44.0,51.0,58.0,1.0263157894736843,5.026315789473684,0.5355696969696969,70.0,30.0,10.0,25.0,16.67,12.5,36.84,1.158,1.342,1.526
Spanish La Liga,Ath Bilbao,Away,190.0,52.0,51.0,87.0,36.0,12.0,4.0,2.0,7.0,15.0,72.0,218.0,194.0,240.0,0.8157894736842105,5.0473684210526315,0.5752497005988024,69.23,30.77,7.69,17.65,3.92,17.24,37.89,1.147,1.021,1.263
Spanish La Liga,Ath Bilbao,Home,190.0,74.0,35.0,81.0,61.0,12.0,1.0,6.0,5.0,30.0,69.0,344.0,291.0,167.0,0.7736842105263158,5.08421052631579,0.5224267441860465,82.43,17.57,1.35,31.43,17.14,37.04,36.32,1.811,1.532,0.879
Spanish La Liga,Ath Madrid,Away,190.0,60.0,38.0,92.0,48.0,10.0,2.0,4.0,9.0,40.0,85.0,327.0,275.0,168.0,0.968421052631579,5.094736842105263,0.6026230337078652,80.0,20.0,3.33,34.21,10.53,43.48,44.74,1.721,1.447,0.884
Spanish La Liga,Ath Madrid,Home,190.0,86.0,18.0,86.0,76.0,9.0,1.0,8.0,3.0,54.0,83.0,450.0,362.0,129.0,1.105263157894737,4.815789473684211,0.6316556179775281,88.37,11.63,1.16,61.11,44.44,62.79,43.68,2.368,1.905,0.679
Spanish La Liga,Barcelona,Away,190.0,78.0,39.0,73.0,67.0,8.0,3.0,12.0,8.0,39.0,77.0,397.0,407.0,189.0,1.1473684210526316,5.131578947368421,0.5853027624309393,85.9,14.1,3.85,51.28,30.77,53.42,40.53,2.089,2.142,0.995
Spanish La Liga,Barcelona,Home,190.0,107.0,19.0,64.0,99.0,4.0,4.0,5.0,3.0,41.0,63.0,459.0,500.0,159.0,1.2210526315789474,4.41578947368421,0.5516576086956522,92.52,7.48,3.74,42.11,26.32,64.06,33.16,2.416,2.632,0.837
Spanish La Liga,Betis,Away,190.0,37.0,59.0,94.0,30.0,6.0,1.0,7.0,6.0,23.0,78.0,228.0,211.0,283.0,0.8842105263157894,5.08421052631579,0.5885594117647059,81.08,18.92,2.7,22.03,11.86,24.47,41.05,1.2,1.111,1.489
Spanish La Liga,Betis,Home,190.0,64.0,38.0,88.0,44.0,14.0,6.0,3.0,14.0,39.0,101.0,310.0,279.0,232.0,0.9421052631578948,5.605263157894737,0.5852508379888268,68.75,31.25,9.38,44.74,7.89,44.32,53.16,1.632,1.468,1.221
Spanish La Liga,Cadiz,Away,76.0,15.0,30.0,31.0,8.0,5.0,2.0,0.0,6.0,7.0,31.0,69.0,56.0,121.0,0.9342105263157895,5.342105263157895,0.5670115942028986,53.33,46.67,13.33,20.0,0.0,22.58,40.79,0.908,0.737,1.592
Spanish La Liga,Cadiz,Home,76.0,19.0,19.0,38.0,11.0,6.0,2.0,0.0,7.0,9.0,37.0,89.0,71.0,96.0,0.9342105263157895,5.631578947368421,0.588803125,57.89,42.11,10.53,36.84,0.0,23.68,48.68,1.171,0.934,1.263
Spanish La Liga,Celta,Away,190.0,36.0,62.0,92.0,23.0,7.0,6.0,3.0,8.0,18.0,81.0,182.0,218.0,323.0,0.9473684210526315,5.363157894736842,0.578146783625731,63.89,36.11,16.67,17.74,4.84,19.57,42.63,0.958,1.147,1.7
Spanish La Liga,Celta,Home,190.0,67.0,56.0,67.0,51.0,13.0,3.0,6.0,15.0,22.0,81.0,288.0,281.0,243.0,0.8894736842105263,5.178947368421053,0.5557635359116022,76.12,23.88,4.48,37.5,10.71,32.84,42.63,1.516,1.479,1.279
